,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,52.86002564430237,8.24615926601126,0.19588438669840494,0.06929275711091427,"(125, 75)",0.5,"{'hidden_layer_sizes': (125, 75), 'alpha': 0.5}",-0.39549813974793796,-0.40100917592518004,-0.378891887077085,-0.3917997342500677,0.009400435057929512,16
1,26.240812222162884,3.507231137476167,0.0807665189107259,1.476698976165818e-05,130,0.1,"{'hidden_layer_sizes': 130, 'alpha': 0.1}",-0.397943289513361,-0.40771158606684677,-0.384046631452671,-0.39656716901095956,0.00971005664077531,66
2,24.91197721163432,1.5300057880313678,0.09298563003540039,0.0042519486287727285,150,0.2,"{'hidden_layer_sizes': 150, 'alpha': 0.2}",-0.393073604875089,-0.4073131304362941,-0.384652285344781,-0.39501300688538804,0.009352341424604208,51
3,20.18864893913269,2.03837186080917,0.1588104565938314,0.004833887493642575,230,0.0001,"{'hidden_layer_sizes': 230, 'alpha': 0.0001}",-0.3964427659698114,-0.4079308760090336,-0.38331224730762936,-0.39589529642882476,0.010057965730641303,62
4,73.63014245033264,6.3111040058840695,0.21966354052225748,0.033441116121540826,"(150, 100)",0.3,"{'hidden_layer_sizes': (150, 100), 'alpha': 0.3}",-0.39767342955447943,-0.40043861172439804,-0.37876779062248084,-0.3922932773004527,0.00963035653598232,27
5,73.241113503774,12.704504618755811,0.25927480061848956,0.08116999638772063,"(150, 150)",0.3,"{'hidden_layer_sizes': (150, 150), 'alpha': 0.3}",-0.39236904819802293,-0.4039801353521868,-0.3775916753042296,-0.3913136196181464,0.01079886268829804,11
6,55.9991242090861,2.1847855759875485,0.12209224700927734,0.007561364944761822,"(125, 50)",0.3,"{'hidden_layer_sizes': (125, 50), 'alpha': 0.3}",-0.392015592297727,-0.4012660979741783,-0.3790987249631296,-0.3907934717450116,0.009090958531668324,6
7,82.11645245552063,2.2208249070624966,0.21289706230163574,0.02278446129508744,"(175, 125)",0.1,"{'hidden_layer_sizes': (175, 125), 'alpha': 0.1}",-0.39942128850862246,-0.4040780876136244,-0.39342457101121475,-0.39897464904448715,0.0043607315217859795,77
8,19.797128041585285,9.518033597811353,0.10717074076334636,0.005699741916587984,"(100, 50)",0.01,"{'hidden_layer_sizes': (100, 50), 'alpha': 0.01}",-0.404298504315609,-0.4156583481081361,-0.3870365151436003,-0.4023311225224485,0.011767335407884874,91
9,23.900203307469685,3.5270306991275255,0.08761231104532878,0.0048744522343617085,160,1,"{'hidden_layer_sizes': 160, 'alpha': 1}",-0.3910221840971555,-0.40298811639771914,-0.3796151412771113,-0.39120848059066204,0.009542886400691621,10
10,54.06208395957947,3.8374617881168764,0.1415863037109375,0.00033054521253532675,"(150, 75)",0.4,"{'hidden_layer_sizes': (150, 75), 'alpha': 0.4}",-0.39442423257030673,-0.4033641357946806,-0.3786912536810946,-0.3921598740153606,0.010199126357904275,23
11,29.543763955434162,6.769054297137524,0.20562005043029785,0.00349323298071858,300,0.0001,"{'hidden_layer_sizes': 300, 'alpha': 0.0001}",-0.3993529493041921,-0.41648720403775563,-0.38687167849373366,-0.40090394394522716,0.012140127033781924,89
12,57.783427238464355,3.9871836718156746,0.16553886731465658,0.009968415040462995,"(125, 150)",1,"{'hidden_layer_sizes': (125, 150), 'alpha': 1}",-0.396380002085626,-0.4020577599977564,-0.3786356911258155,-0.3923578177363993,0.009976031367394503,29
13,39.575969219207764,3.7492034023864913,0.13215374946594238,0.000970920333530199,250,0.5,"{'hidden_layer_sizes': 250, 'alpha': 0.5}",-0.3919571975886952,-0.4035056161463269,-0.378534683284599,-0.3913324990065403,0.010203906383836222,12
14,39.886678298314415,8.455134576090462,0.21618032455444336,0.12713825226068745,230,0.4,"{'hidden_layer_sizes': 230, 'alpha': 0.4}",-0.39506088773014286,-0.40158931254062163,-0.38538855523068477,-0.3940129185004831,0.006655314366910275,41
15,30.775258143742878,1.2449646810665624,0.07820725440979004,0.0036034324393170456,"(100, 25)",0.1,"{'hidden_layer_sizes': (100, 25), 'alpha': 0.1}",-0.3972884118050898,-0.4044402511811898,-0.38485482770929874,-0.3955278302318595,0.008092051192387258,57
16,12.409628788630167,3.821676027402864,0.08346947034200032,0.0038058084117867,"(100, 25)",0.01,"{'hidden_layer_sizes': (100, 25), 'alpha': 0.01}",-0.40189597620755774,-0.41197694818589176,-0.38358457642647753,-0.399152500273309,0.011752352634899592,79
17,19.187737226486206,3.264220765644645,0.12743846575419107,0.0043631499891490805,"(100, 100)",0.01,"{'hidden_layer_sizes': (100, 100), 'alpha': 0.01}",-0.40106399397655607,-0.41007292907174314,-0.3873582829740974,-0.39949840200746556,0.009339061176784444,82
18,17.420351187388103,4.597103016820952,0.08091402053833008,0.00018721926772434361,120,0.01,"{'hidden_layer_sizes': 120, 'alpha': 0.01}",-0.3960960584853176,-0.4062506766334958,-0.38126314881358225,-0.3945366279774652,0.010260539435765671,47
19,43.17279934883118,6.855195298517664,0.17520817120869955,0.004758038806739884,"(175, 75)",0.01,"{'hidden_layer_sizes': (175, 75), 'alpha': 0.01}",-0.40135514437955,-0.408596042543923,-0.38811164910280826,-0.39935427867542705,0.00848155612047096,81
20,14.439835151036581,3.592184294092472,0.1524528662363688,0.0012471805896063835,"(100, 125)",0.001,"{'hidden_layer_sizes': (100, 125), 'alpha': 0.001}",-0.39985584178906475,-0.41421653217474375,-0.3904048016929657,-0.4014923918855914,0.009789734395376972,90
